Timestamp,Temp_Outdoor,Temp_Exhaust_Air,Temp_Vented_Air,Temp_Indoor,Temp_HW_Top,Power_Compressor_kW,Compressor_Hz,Defrosting_Time_s,Degree_Minutes,L1_Current_A,L2_Current_A,L3_Current_A,Air_Flow_m3h,Radiator_Supply_T,Radiator_Return_T,Floor_Supply_T,Floor_Return_T,Power_Heater_kW,Electricity_Price_SEK_kWh,Power_Compressor_W,Total_Power_W,Air_Thermal_Gain,Harvested_Heat_W,Cost_Per_Minute_SEK
2026-02-01 17:01:00+00:00,,,,,,,,,,,,,,,,,,,1.22983,,0.0,,,0.0
2026-02-01 17:16:00+00:00,,,,,,,,,,,,,,,,,,,1.22697,,0.0,,,0.0
2026-02-01 17:31:00+00:00,,,,,,,,,,,,,,,,,,,1.2347,,0.0,,,0.0
2026-02-01 17:46:00+00:00,,,,,,,,,,,,,,,,,,,1.19544,,0.0,,,0.0
2026-02-01 18:01:00+00:00,,,,,,,,,,,,,,,,,,,1.23755,,0.0,,,0.0
2026-02-01 18:16:00+00:00,,,,,,,,,,,,,,,,,,,1.19227,,0.0,,,0.0
2026-02-01 18:31:00+00:00,,,,,,,,,,,,,,,,,,,1.13154,,0.0,,,0.0
2026-02-01 18:46:00+00:00,,,,,,,,,,,,,,,,,,,1.06901,,0.0,,,0.0
2026-02-01 19:01:00+00:00,,,,,,,,,,,,,,,,,,,1.15619,,0.0,,,0.0
2026-02-01 19:16:00+00:00,,,,,,,,,,,,,,,,,,,1.11842,,0.0,,,0.0
2026-02-01 19:31:00+00:00,,,,,,,,,,,,,,,,,,,1.07176,,0.0,,,0.0
2026-02-01 19:46:00+00:00,,,,,,,,,,,,,,,,,,,1.02828,,0.0,,,0.0
2026-02-01 20:01:00+00:00,,,,,,,,,,,,,,,,,,,1.16201,,0.0,,,0.0
2026-02-01 20:16:00+00:00,,,,,,,,,,,,,,,,,,,1.17227,,0.0,,,0.0
2026-02-01 20:31:00+00:00,,,,,,,,,,,,,,,,,,,1.11546,,0.0,,,0.0
2026-02-01 20:46:00+00:00,,,,,,,,,,,,,,,,,,,1.04013,,0.0,,,0.0
2026-02-01 21:01:00+00:00,,,,,,,,,,,,,,,,,,,1.14656,,0.0,,,0.0
2026-02-01 21:16:00+00:00,,,,,,,,,,,,,,,,,,,1.0816,,0.0,,,0.0
2026-02-01 21:31:00+00:00,,,,,,,,,,,,,,,,,,,1.04542,,0.0,,,0.0
2026-02-01 21:46:00+00:00,,,,,,,,,,,,,,,,,,,0.98755,,0.0,,,0.0
2026-02-01 22:01:00+00:00,,,,,,,,,,,,,,,,,,,1.06742,,0.0,,,0.0
2026-02-01 22:16:00+00:00,,,,,,,,,,,,,,,,,,,1.00151,,0.0,,,0.0
2026-02-01 22:31:00+00:00,,,,,,,,,,,,,,,,,,,0.96543,,0.0,,,0.0
2026-02-01 22:46:00+00:00,,,,,,,,,,,,,,,,,,,0.92269,,0.0,,,0.0
2026-02-01 23:01:00+00:00,,,,,,,,,,,,,,,,,,,0.90417,,0.0,,,0.0
2026-02-01 23:16:00+00:00,,,,,,,,,,,,,,,,,,,0.93581,,0.0,,,0.0
2026-02-01 23:31:00+00:00,,,,,,,,,,,,,,,,,,,0.93073,,0.0,,,0.0
2026-02-01 23:46:00+00:00,,,,,,,,,,,,,,,,,,,0.88418,,0.0,,,0.0
2026-02-02 00:01:00+00:00,,,,,,,,,,,,,,,,,,,0.82451,,0.0,,,0.0
2026-02-02 00:16:00+00:00,,,,,,,,,,,,,,,,,,,0.81012,,0.0,,,0.0
2026-02-02 00:31:00+00:00,,,,,,,,,,,,,,,,,,,0.92354,,0.0,,,0.0
2026-02-02 00:46:00+00:00,,,,,,,,,,,,,,,,,,,0.91348,,0.0,,,0.0
2026-02-02 01:01:00+00:00,,,,,,,,,,,,,,,,,,,0.74114,,0.0,,,0.0
2026-02-02 01:16:00+00:00,,,,,,,,,,,,,,,,,,,0.86471,,0.0,,,0.0
2026-02-02 01:31:00+00:00,,,,,,,,,,,,,,,,,,,0.87719,,0.0,,,0.0
2026-02-02 01:46:00+00:00,,,,,,,,,,,,,,,,,,,0.87487,,0.0,,,0.0
2026-02-02 02:01:00+00:00,,,,,,,,,,,,,,,,,,,0.8462,,0.0,,,0.0
2026-02-02 02:16:00+00:00,,,,,,,,,,,,,,,,,,,0.86619,,0.0,,,0.0
2026-02-02 02:31:00+00:00,,,,,,,,,,,,,,,,,,,0.87466,,0.0,,,0.0
2026-02-02 02:46:00+00:00,,,,,,,,,,,,,,,,,,,0.87265,,0.0,,,0.0
2026-02-02 03:01:00+00:00,,,,,,,,,,,,,,,,,,,0.9174,,0.0,,,0.0
2026-02-02 03:16:00+00:00,,,,,,,,,,,,,,,,,,,0.92607,,0.0,,,0.0
2026-02-02 03:31:00+00:00,,,,,,,,,,,,,,,,,,,0.93327,,0.0,,,0.0
2026-02-02 03:46:00+00:00,,,,,,,,,,,,,,,,,,,0.93687,,0.0,,,0.0
2026-02-02 04:01:00+00:00,,,,,,,,,,,,,,,,,,,0.95887,,0.0,,,0.0
2026-02-02 04:16:00+00:00,,,,,,,,,,,,,,,,,,,0.9192,,0.0,,,0.0
2026-02-02 04:31:00+00:00,,,,,,,,,,,,,,,,,,,0.97591,,0.0,,,0.0
2026-02-02 04:46:00+00:00,,,,,,,,,,,,,,,,,,,0.99728,,0.0,,,0.0
2026-02-02 05:01:00+00:00,,,,,,,,,,,,,,,,,,,0.9503,,0.0,,,0.0
2026-02-02 05:16:00+00:00,,,,,,,,,,,,,,,,,,,1.08425,,0.0,,,0.0
2026-02-02 05:31:00+00:00,,,,,,,,,,,,,,,,,,,1.19544,,0.0,,,0.0
2026-02-02 05:46:00+00:00,,,,,,,,,,,,,,,,,,,1.28273,,0.0,,,0.0
2026-02-02 06:01:00+00:00,,,,,,,,,,,,,,,,,,,1.19555,,0.0,,,0.0
2026-02-02 06:16:00+00:00,,,,,,,,,,,,,,,,,,,1.25501,,0.0,,,0.0
2026-02-02 06:31:00+00:00,,,,,,,,,,,,,,,,,,,1.41572,,0.0,,,0.0
2026-02-02 06:46:00+00:00,,,,,,,,,,,,,,,,,,,1.42038,,0.0,,,0.0
2026-02-02 07:01:00+00:00,,,,,,,,,,,,,,,,,,,1.48121,,0.0,,,0.0
2026-02-02 07:16:00+00:00,,,,,,,,,,,,,,,,,,,1.57315,,0.0,,,0.0
2026-02-02 07:31:00+00:00,,,,,,,,,,,,,,,,,,,1.57358,,0.0,,,0.0
2026-02-02 07:46:00+00:00,,,,,,,,,,,,,,,,,,,1.54459,,0.0,,,0.0
2026-02-02 08:01:00+00:00,,,,,,,,,,,,,,,,,,,1.67663,,0.0,,,0.0
2026-02-02 08:16:00+00:00,,,,,,,,,,,,,,,,,,,1.54639,,0.0,,,0.0
2026-02-02 08:31:00+00:00,,,,,,,,,,,,,,,,,,,1.47243,,0.0,,,0.0
2026-02-02 08:46:00+00:00,,,,,,,,,,,,,,,,,,,1.38673,,0.0,,,0.0
2026-02-02 09:01:00+00:00,,,,,,,,,,,,,,,,,,,1.40006,,0.0,,,0.0
2026-02-02 09:16:00+00:00,,,,,,,,,,,,,,,,,,,1.36599,,0.0,,,0.0
2026-02-02 09:31:00+00:00,,,,,,,,,,,,,,,,,,,1.29225,,0.0,,,0.0
2026-02-02 09:46:00+00:00,,,,,,,,,,,,,,,,,,,1.19724,,0.0,,,0.0
2026-02-02 10:01:00+00:00,,,,,,,,,,,,,,,,,,,1.30505,,0.0,,,0.0
2026-02-02 10:16:00+00:00,,,,,,,,,,,,,,,,,,,1.233,,0.0,,,0.0
2026-02-02 10:31:00+00:00,,,,,,,,,,,,,,,,,,,1.17778,,0.0,,,0.0
2026-02-02 10:46:00+00:00,,,,,,,,,,,,,,,,,,,1.15228,,0.0,,,0.0
2026-02-02 11:01:00+00:00,,,,,,,,,,,,,,,,,,,1.18772,,0.0,,,0.0
2026-02-02 11:16:00+00:00,,,,,,,,,,,,,,,,,,,1.15587,,0.0,,,0.0
2026-02-02 11:31:00+00:00,,,,,,,,,,,,,,,,,,,1.17386,,0.0,,,0.0
2026-02-02 11:46:00+00:00,,,,,,,,,,,,,,,,,,,1.15662,,0.0,,,0.0
2026-02-02 12:01:00+00:00,,,,,,,,,,,,,,,,,,,1.13493,,0.0,,,0.0
2026-02-02 12:16:00+00:00,,,,,,,,,,,,,,,,,,,1.12424,,0.0,,,0.0
2026-02-02 12:31:00+00:00,,,,,,,,,,,,,,,,,,,1.11662,,0.0,,,0.0
2026-02-02 12:46:00+00:00,,,,,,,,,,,,,,,,,,,1.11472,,0.0,,,0.0
2026-02-02 13:01:00+00:00,,,,,,,,,,,,,,,,,,,1.09525,,0.0,,,0.0
2026-02-02 13:16:00+00:00,,,,,,,,,,,,,,,,,,,1.10118,,0.0,,,0.0
2026-02-02 13:31:00+00:00,,,,,,,,,,,,,,,,,,,1.11768,,0.0,,,0.0
2026-02-02 13:46:00+00:00,,,,,,,,,,,,,,,,,,,1.13154,,0.0,,,0.0
2026-02-02 14:01:00+00:00,,,,,,,,,,,,,,,,,,,1.09504,,0.0,,,0.0
2026-02-02 14:16:00+00:00,,,,,,,,,,,,,,,,,,,1.11832,,0.0,,,0.0
2026-02-02 14:31:00+00:00,,,,,,,,,,,,,,,,,,,1.13249,,0.0,,,0.0
2026-02-02 14:46:00+00:00,,,,,,,,,,,,,,,,,,,1.16645,,0.0,,,0.0
2026-02-02 15:01:00+00:00,,,,,,,,,,,,,,,,,,,1.12318,,0.0,,,0.0
2026-02-02 15:16:00+00:00,,,,,,,,,,,,,,,,,,,1.15968,,0.0,,,0.0
2026-02-02 15:31:00+00:00,,,,,,,,,,,,,,,,,,,1.21512,,0.0,,,0.0
2026-02-02 15:46:00+00:00,,,,,,,,,,,,,,,,,,,1.25152,,0.0,,,0.0
2026-02-02 16:01:00+00:00,,,,,,,,,,,,,,,,,,,1.20528,,0.0,,,0.0
2026-02-02 16:16:00+00:00,,,,,,,,,,,,,,,,,,,1.27596,,0.0,,,0.0
2026-02-02 16:31:00+00:00,,,,,,,,,,,,,,,,,,,1.36451,,0.0,,,0.0
2026-02-02 16:46:00+00:00,,,,,,,,,,,,,,,,,,,1.31817,,0.0,,,0.0
2026-02-02 17:01:00+00:00,,,,,,,,,,,,,,,,,,,1.33986,,0.0,,,0.0
2026-02-02 17:16:00+00:00,,,,,,,,,,,,,,,,,,,1.27712,,0.0,,,0.0
2026-02-02 17:31:00+00:00,,,,,,,,,,,,,,,,,,,1.28971,,0.0,,,0.0
