Avläst elanvändning per timme;;;;;
Informationen tillhandahålls av din nätägare: Vattenfall Eldistribution AB;;;;;
;;;;;
Anläggningsadress:;Nybyn Björkö;;;;
AnläggningsID:;UPO735999100000376429;;;;
;;;;;
Tidsperiod:;1 februari 2026 - 27 februari 2026;;;;
Jämförelseperiod:;1 februari 2025 - 27 februari 2025;;;;
;;;;;
1 februari 2026 - 27 februari 2026;kWh;1 februari 2025 - 27 februari 2025;kWh;Temperatur 2026 februari - 2026 februari (°C);Temperatur 2025 februari - 2025 februari (°C)
2026-02-09 17:00;5,664;2025-02-09 17:00;3,321;−6,3;0,4
2026-02-09 18:00;4,521;2025-02-09 18:00;3,878;−6,8;0,5
2026-02-09 19:00;3,781;2025-02-09 19:00;1,486;−6,6;0,5
2026-02-09 20:00;4,066;2025-02-09 20:00;2,391;−6,6;0,5
2026-02-09 21:00;6,024;2025-02-09 21:00;2,118;−6,7;0,5
2026-02-09 22:00;5,731;2025-02-09 22:00;3,728;−6,5;0,5
2026-02-09 23:00;4,516;2025-02-09 23:00;1,214;−6,8;0,6
2026-02-10 00:00;5,674;2025-02-10 00:00;2,12;−7;0,3
2026-02-10 01:00;6,129;2025-02-10 01:00;2,564;−7,2;0,2
2026-02-10 02:00;5,39;2025-02-10 02:00;4,802;−7,4;0
2026-02-10 03:00;4,956;2025-02-10 03:00;3,112;−7,9;0
2026-02-10 04:00;3,936;2025-02-10 04:00;4,82;−7,9;−0,1
2026-02-10 05:00;5,521;2025-02-10 05:00;3,494;−8,2;−0,5
2026-02-10 06:00;5,355;2025-02-10 06:00;4,667;−8,2;−0,6
2026-02-10 07:00;4,673;2025-02-10 07:00;4,997;−7,9;−0,8
2026-02-10 08:00;3,622;2025-02-10 08:00;4,494;−8,4;−1
2026-02-10 09:00;4,655;2025-02-10 09:00;4,367;−8,4;−0,8
2026-02-10 10:00;4,661;2025-02-10 10:00;1,234;−7,6;−0,4
2026-02-10 11:00;5,617;2025-02-10 11:00;1,816;−7,4;0,1
2026-02-10 12:00;4,027;2025-02-10 12:00;1,551;−7,2;0,7
2026-02-10 13:00;3,696;2025-02-10 13:00;0,954;−6,9;1,2
2026-02-10 14:00;3,387;2025-02-10 14:00;1,607;−6,6;1,8
2026-02-10 15:00;5,174;2025-02-10 15:00;1,718;−6,5;1,7
2026-02-10 16:00;4,163;2025-02-10 16:00;1,446;−6,4;1,3
2026-02-10 17:00;3,446;2025-02-10 17:00;2,291;−6,6;1
2026-02-10 18:00;3,797;2025-02-10 18:00;2,975;−7,3;0,9
2026-02-10 19:00;4,895;2025-02-10 19:00;3,011;−7,6;0,8
2026-02-10 20:00;4,789;2025-02-10 20:00;4,112;−7,8;0,8
2026-02-10 21:00;5,277;2025-02-10 21:00;2,168;−7,9;0,8
2026-02-10 22:00;3,879;2025-02-10 22:00;3,834;−7,9;0,7
2026-02-10 23:00;4,7;2025-02-10 23:00;2,006;−7,3;1
2026-02-11 00:00;4,166;2025-02-11 00:00;4,026;−6,5;0,8
2026-02-11 01:00;4,475;2025-02-11 01:00;1,876;−6,4;0,8
2026-02-11 02:00;4,27;2025-02-11 02:00;3,97;−6,1;0,2
2026-02-11 03:00;3,13;2025-02-11 03:00;3,592;−6;−0,9
2026-02-11 04:00;2,313;2025-02-11 04:00;4,225;−6;−1,7
2026-02-11 05:00;3,935;2025-02-11 05:00;2,311;−5,9;−1,7
2026-02-11 06:00;4,282;2025-02-11 06:00;1,037;−5,3;−1,5
2026-02-11 07:00;3,746;2025-02-11 07:00;2,07;−4,7;−1,4
2026-02-11 08:00;3,724;2025-02-11 08:00;2,251;−5,4;−1,4
2026-02-11 09:00;4,364;2025-02-11 09:00;3,547;−4,9;−1,6
2026-02-11 10:00;2,898;2025-02-11 10:00;2,707;−4,5;−1,5
2026-02-11 11:00;1,274;2025-02-11 11:00;1,142;−4,25;−1,7
2026-02-11 12:00;1,749;2025-02-11 12:00;1,881;−4;−1,2
2026-02-11 13:00;2,326;2025-02-11 13:00;3,573;−3,9;−1,3
2026-02-11 14:00;2,304;2025-02-11 14:00;2,053;−3,5;−1,3
2026-02-11 15:00;4,752;2025-02-11 15:00;3,442;−3,2;−1,3
2026-02-11 16:00;3,413;2025-02-11 16:00;2,361;−2,9;−1,5
2026-02-11 17:00;1,915;2025-02-11 17:00;3,744;−3,3;−1,6
2026-02-11 18:00;1,093;2025-02-11 18:00;2,756;−3,1;−1,4
2026-02-11 19:00;2,414;2025-02-11 19:00;3,649;−2,9;−1,1
2026-02-11 20:00;3,283;2025-02-11 20:00;3,179;−2,6;−0,9
2026-02-11 21:00;3,815;2025-02-11 21:00;4,373;−2,5;−0,8
2026-02-11 22:00;3,646;2025-02-11 22:00;1,903;−2,2;−0,7
2026-02-11 23:00;3,085;2025-02-11 23:00;4,496;−2,3;−0,9
2026-02-12 00:00;1,529;2025-02-12 00:00;3,561;−2,3;−0,8
